13 legendre_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_-1.1_-0.9,0.0000023519,-0.0000000421,0.0000353941,0.0000353941
17 legendre_formula_-1.1_-0.9,0.0000002248,-0.0000011057,0.0000042581,0.0000042581
18 legendre_formula_-1.1_-0.9,0.0000000203,-0.0000000413,0.0000000418,0.0000000418
1 legendre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.1_-0.9,0.0000000200,-0.0000000462,0.0000000386,0.0000000462
2 legendre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-1.1_-0.9,0.0000000261,-0.0000000506,0.0000000490,0.0000000506
4 legendre_formula_-1.1_-0.9,0.0000000197,-0.0000000452,0.0000000530,0.0000000530
5 legendre_formula_-1.1_-0.9,0.0000000216,-0.0000000420,0.0000000464,0.0000000464
6 legendre_formula_-1.1_-0.9,0.0000000219,-0.0000000554,0.0000000575,0.0000000575
7 legendre_formula_-1.1_-0.9,0.0000000219,-0.0000000548,0.0000000475,0.0000000548
,0.0000000201,-0.0000000512,0.0000000492,0.0000000512
