0 legendre_formula_-1.05_-0.95,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_-1.05_-0.95,0.0000132423,-0.0000361656,0.0003079284,0.0003079284
15 legendre_formula_-1.05_-0.95,0.0000406435,-0.0008908618,0.0001073086,0.0008908618
17 legendre_formula_-1.05_-0.95,0.0000063371,-0.0000255262,0.0000304712,0.0000304712
18 legendre_formula_-1.05_-0.95,0.0000111432,-0.0000571734,0.0000633723,0.0000633723
1 legendre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.05_-0.95,0.0000093142,-0.0003859069,0.0000202379,0.0003859069
2 legendre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-1.05_-0.95,0.0000025545,-0.0000381467,0.0000318077,0.0000381467
4 legendre_formula_-1.05_-0.95,0.0000001993,-0.0000009903,0.0000010018,0.0000010018
5 legendre_formula_-1.05_-0.95,0.0000000174,-0.0000000390,0.0000000441,0.0000000441
6 legendre_formula_-1.05_-0.95,0.0000000847,-0.0000002501,0.0000002473,0.0000002501
7 legendre_formula_-1.05_-0.95,0.0000000207,-0.0000000453,0.0000000534,0.0000000534
,0.0000000229,-0.0000000569,0.0000000551,0.0000000569
